Final annotation,Text,English Translation
Non Misogynistic,মেয়েটার আত্মবিশ্বাস তাকে অন্যদের কাছে অনুপ্রেরণার উৎস করে তুলেছে।,Loading...
Derogation,এই মহিলার সাথে থাকলে একসময় ঠকতে হবে।,Loading...
Non Misogynistic,মেয়েটার রুচির প্রসংশা না করে পারলামনা।,Loading...
Stereotype,মেয়েরা কারো ব্যাপারে একবার বিরুদ্ধে গেলে আর সহজে মানে না,Loading...
Derogation,বুড়ি বেডি আবার জোয়ান সাজে,Loading...
Stereotype,মেয়েরা ত্রিশের পর পাত্র পাওয়া কঠিন হয়ে যায়,Loading...
Derogation,এই বেডিরে মেথর ছাড়া কেউ বিয়ে করবে না,No one will marry in this bed except a scavenger.
Derogation,রাস্তায় ডান্ডা দিয়া বান্দর নাচায় না? ঠিক ওমন লাগছে এই ফালতু মহিলা রে,Loading...
Non Misogynistic,আপু নিজের অধিকার আদায়ে সচেতন,Loading...
Derogation,এই মহিলার সোশ্যাল স্কিল এত কম যে কোথাও গেলে বিব্রতকর।,Loading...
Non Misogynistic,মেয়েটার সামাজিক উদ্যোগ প্রমাণ করে সমাজ পরিবর্তনে নারীর ভূমিকা অপরিহার্য।,Loading...
Derogation,"এই বেডির কমনসেন্স নেই, শুধু বইয়ের জ্ঞান দিয়ে কাজ হয় না।",Loading...
Non Misogynistic,এই নায়িকার এখন আগের মতো জনপ্রিয়তা নেই,Loading...
Non Misogynistic,মেয়েটার বাবা তার পেশাদার পরিচয়কে পারিবারিক পরিচয়ের চেয়ে কম গুরুত্বপূর্ণ মনে করেন না।,Loading...
Sexual Harassment,তোর মতো মেয়েদের খেয়ে রাস্তায় ছেড়ে দেওয়া উচিত,Loading...
Non Misogynistic,প্রতিটি মেয়ের শারীরিক ও মানসিক নিরাপত্তা নিশ্চিত করা সমাজের সর্বোচ্চ দায়িত্ব।,Loading...
Non Misogynistic,প্রথমে আপনি নিজেকে পরিবর্তন করেন,Loading...
Non Misogynistic,মেয়েটি সমালোচনা গ্রহণ করেন উদারভাবে,Loading...
Non Misogynistic,"মহিলা ব্যারিস্টার আদালতে যে যুক্তি উপস্থাপন করেন, বিচারকরা মনোযোগ দিয়ে শোনেন।",Loading...
Sexual Harassment,দুইটার সাথে খেলতে পারলে মজা লাগতো,Loading...
Sexual Harassment,"আপুকে খাটে নিয়ে যেতে চাই, ৫০০ টাকা দিতে রাজি আছি",Loading...
Stereotype,মেয়েদের স্বভাব পেটে কথা পেলে রাতে ঘুম আসে না।,Loading...
Sexual Harassment,"এই মডেলের পাছা বিক্রি করলে দাম বলো, ইনবক্সে অপেক্ষা করছি",Loading...
Stereotype,যেসব মেয়েরা মডেলিং করে তাদের চরিত্রে সমস্যা আছে,Loading...
Sexual Harassment,এরকম নারীর মায়ারসে সিদ্ধ হতে চাই,Loading...
Stereotype,"বলে রাখি, বন্ধুত্বের সামান্য টানাপড়েন মেয়েদের জন্য ভূমিকম্প — এটাই সত্য।",Loading...
Non Misogynistic,দিদির পাথরের কাজ চমৎকার,Loading...
Sexual Harassment,সুন্দরীর শরীরে মধু ঢেলে চেটে খেতে চাই,Loading...
Derogation,এই মহিলার মূল্যবোধ কোথায় সেটা জানি না,Loading...
Derogation,এই বেডির চাপ সহ্য করার ক্ষমতা নেই।,Loading...
Non Misogynistic,মেয়েটা নিজের লক্ষ্যে স্থির থেকে প্রতিদিন একটু একটু এগিয়ে যাচ্ছে।,Loading...
Non Misogynistic,প্রতিটি মেয়ে তার নিজের মানসিক স্বাস্থ্যের যত্ন নেওয়ার অধিকার রাখে।,Loading...
Derogation,মেয়েটার ঘর গোছানোর স্টাইল দেখলে মনে হয় ঝড় বয়ে গেছে,Loading...
Non Misogynistic,আমি বিমোহিত আপনার লয়ালিটির বর্ণনা শুনে।,Loading...
Non Misogynistic,মেয়েটা কঠিন সময়ে মাথা ঠাণ্ডা রাখেন,Loading...
Derogation,মেয়েটার সাক্ষাৎকার দেখলে মনে হয় প্রশ্নের উত্তরই জানে না।,Loading...
Sexual Harassment,বুড়ি আইছে সাইজ দেখাইতে,Loading...
Non Misogynistic,নারী গ্রন্থাগারিক জ্ঞানের ভাণ্ডারকে সংরক্ষণ করেন,Loading...
Stereotype,বাইরে কাজ করা মেয়েদের বাচ্চারা বখে যায়,Loading...
Non Misogynistic,মেয়েটার সামগ্রিক ব্যক্তিত্ব তাকে একটি অনুপ্রেরণামূলক ব্যক্তিত্ব করে তুলেছে।,Loading...
Non Misogynistic,মহিলা স্থপতির ডিজাইন সবার নজর কেড়েছে,Loading...
Non Misogynistic,মেয়েটার দাদি তাকে পড়াশোনার জন্য জমানো টাকা দিয়েছেন।,Loading...
Non Misogynistic,মহিলা চিত্রপরিচালকটির দৃষ্টিভঙ্গি চলচ্চিত্রশিল্পে নতুন মাত্রা যোগ করছে।,Loading...
Sexual Harassment,"সুন্দরী মিউজিক ভিডিওতে নাচ না, সেক্সুয়াল সিডিউস করছে",Loading...
Stereotype,রাত করে একা ফেরা মেয়েদের নিরাপত্তা নিজের দায়।,Loading...
Non Misogynistic,মেয়েটার কাজের মধ্যে একটা নিজস্ব শৈলী আছে যা তাকে আলাদা করে রাখে।,Loading...
Derogation,মেয়েটার জীবনধারণ দেখলে মনে হয় বাঁচার কোনো উৎসাহ নেই।,Loading...
Derogation,মেয়েটাকে দেখলে মনে হয় সমস্যায় পড়লে কাঁদে,Loading...
Non Misogynistic,মেয়েদের বিরুদ্ধে অনলাইন হয়রানি প্রতিরোধে কঠোর পদক্ষেপ নেওয়া প্রয়োজন।,Loading...
Stereotype,মফস্বলের মেয়েরা অধিকাংশ সময় নেতা হিসেবে দাঁড়ালেও কেউ গুরুত্বের সঙ্গে নেয় না।,Loading...
Stereotype,মেয়েদের জিমে গিয়ে মাংসপেশি তৈরি করা মেয়েলি নয়,Loading...
Sexual Harassment,"এই আপুর যত বড় সাইজ, তত দাম বেশি",Loading...
Non Misogynistic,মেয়েটার আত্মসম্মানবোধ তাকে অন্যায় সহ্য করা থেকে বিরত রাখে।,Loading...
Derogation,মেয়েটার গানের গলা শুনলে মনে হয় বিড়াল ডাকছে।,Loading...
Derogation,এই মহিলার পোশাক পরার সেন্স একদম শূন্য,Loading...
Stereotype,হাইওয়েতে একা গাড়ি চালানো মেয়েদের ব্যাপারে সমাজের কথা থাকেই।,Loading...
Stereotype,একা ভ্রমণ করতে চাওয়া মেয়েদের পরিবার সম্পর্কে বোঝাপড়া কম (যদিও অনেকেই মানতে চাইবে না)।,Loading...
Stereotype,মেয়েদের চেহারা ঠিক না থাকলে যোগ্যতা থাকলেও ডাক মেলে না,Loading...
Non Misogynistic,নারী টিচার শিক্ষার্থীদের ভবিষ্যত গড়ে তুলছেন,Loading...
Derogation,মেয়েটার চামড়ার রঙ দেখে বোঝা যায় সারাজীবন রোদে পুড়েছে,Loading...
Non Misogynistic,আপুর হাসিতে এক অজানা শক্তি লুকিয়ে থাকে,Loading...
Derogation,এই মেয়ে মেকআপ আর্টিস্টের জন্য একটা চ্যালেঞ্জ,Loading...
Sexual Harassment,এই ডিজের সোনা নিয়ে রাতে কল্পনা করি,Loading...
Stereotype,"মেয়েরা মিথ্যা বলে বেশি, এটা তাদের স্বভাব",Loading...
Non Misogynistic,"ওহে সুন্দরী, ফুলের সুবাস তোমার কাছে হার মানে",Loading...
Derogation,এই মেয়ে এত রোগা যে বাতাসে উড়ে যাওয়ার সম্ভাবনা আছে।,Loading...
Non Misogynistic,মেয়েটার মেধা সত্যিই বিরল,Loading...
Sexual Harassment,আপু ভাইরাল হতে চাইলে কাপড়টা খুলো আমরাও দেখি,Loading...
Stereotype,এদেশের মেয়েরা সংসার গোছানো ছাড়া আর কিছু ঠিকভাবে পারে না।,Loading...
Stereotype,"বলে রাখি, নিজের নামে ব্যাংক একাউন্ট রাখা মেয়েরা সংসারে বিদ্রোহ ডেকে আনে।",Loading...
Non Misogynistic,মেয়েদের বিরুদ্ধে যেকোনো ধরনের হয়রানিকে স্বাভাবিক মনে করা উচিত নয়।,Loading...
Stereotype,ক্রিকেট খেলায় মেয়েরা অদক্ষ,Loading...
Non Misogynistic,মেয়েদের সারপ্রাইজ দিলে তারা অনেক খুশি হয়,Loading...
Non Misogynistic,মহিলা পরিবেশ কর্মীটির উদ্যোগে এলাকায় লক্ষাধিক গাছ লাগানো হয়েছে।,Loading...
Stereotype,"মহিলাদের নেতৃত্বে যত উদাহরণ দেখানো হয়, সবই ব্যতিক্রম মাত্র।",All the examples shown of women leading are just exceptions.
Stereotype,মেয়েমানুষের উচিত ঘরে নরম গলায় কথা বলা তা নাহলে সমাজ খারাপ বলে,Loading...
Non Misogynistic,মেয়েদের বিরুদ্ধে ঘৃণামূলক বক্তব্য প্রতিরোধে সামাজিক দায়িত্ব আছে।,Loading...
Non Misogynistic,মহিলা ব্যাডমিন্টন খেলোয়াড়টি দেশের হয়ে আন্তর্জাতিক পদক জিতেছেন।,Loading...
Non Misogynistic,দিদি বিচার করার আগে চিন্তা করেন,Loading...
Stereotype,মেয়েদের বিদেশে পড়তে পাঠানো ঝুঁকির বিষয়,Loading...
Non Misogynistic,মেয়েটি কঠিন বিষয়ও সহজভাবে বুঝিয়ে দিতে পারে,Loading...
Non Misogynistic,"আপুটি কে দেখে মনে হয়, মানুষ এতো সুন্দরী হয় নাকি",Loading...
Non Misogynistic,আজকে মেয়েটা অনেক আত্মবিশ্বাস নিয়ে কথা বলছিল,Loading...
Derogation,মহিলাটার ঠোঁট দুটো এত পাতলা যে খুঁজে পাওয়াই কঠিন,Loading...
Non Misogynistic,"মেয়েটা যেভাবে সবাইকে সাহায্য করলো, সত্যি ভালো লাগছে",Loading...
Derogation,যে সময় বিভিন্ন বেডা লইয়া ঘুরতি তখন কই ছিল এই কথা?,Loading...
Sexual Harassment,"এই মাগি আজ রাতে কোথায় থাকবে, ঠিকানা পাঠাও",Loading...
Derogation,মেয়েটার এই বয়সে এমন অপরিপক্ক আচরণ দেখে অবাক হই।,Loading...
Stereotype,মেয়েরা মোটরসাইকেল চালালে মানুষ অবাক হয়ে তাকায় — এটাই বাস্তব।,Loading...
Stereotype,"মেয়েদের আসল শিক্ষা হলো সংসার পরিচালনা, বাকি শিক্ষা গৌণ",Loading...
Derogation,মেয়েটার এই আচরণ দেখলে নির্ভরযোগ্যতার প্রশ্ন আসে কিভাবে?,Loading...
Non Misogynistic,মেয়েটার সংগ্রাম ও সাফল্যের গল্প প্রমাণ করে সঠিক মনোভাব থাকলে কিছুই অসম্ভব নয়।,Loading...
Stereotype,"যে মেয়ে যত বেশি পড়াশোনা করেছে, তার বিয়ে হতে তত বেশি দেরি হয়েছে",Loading...
Stereotype,"মেয়েদের মূল্যবোধ ব্র্যান্ডের লেবেলের ওপর নির্ভর করে, এটা মানতেই হবে।",Loading...
Stereotype,মেয়েদের লুক দিয়ে বেশি বিচার করা হয়,Loading...
Stereotype,"মেয়েরা বেশি কথা বলে, তাই তারা কোনো কিছু গোপন রাখাতে পারে না",Loading...
Non Misogynistic,আপনি মেকাপ ছাড়াই অনেক সুন্দর,Loading...
Non Misogynistic,"অভিনন্দন, নারীর শিক্ষাই নারীশক্তি",Loading...
Stereotype,"মানতেই হবে, পাত্রের বেতন কম বলে না করা মেয়েরা শেষে একা পড়ে থাকে।",Loading...
Non Misogynistic,আপুর এবার আইনের সহায়তা নেওয়া উচিৎ,Loading...
Stereotype,পরিবারের পছন্দ উপেক্ষা করে বিয়ে করলে শেষ পর্যন্ত মেয়েদেরই সমস্যায় পড়তে হয়।,Loading...
Derogation,"ঘাটের নটিরাও তো এত নির্লজ্জ হয়না, এই মেয়ে যে পরিমাণ নির্লজ্জ",Loading...
Stereotype,"যে মেয়েদের কাপড়ের ঠিক নেই, তাদের কথার ঠিক থাকবে কীভাবে",Loading...
Non Misogynistic,মেয়েটির গ্রাফিক ডিজাইন আধুনিক,Loading...
Derogation,এই মেয়ে মডেল হয়েছে চেহারা দিয়ে না ধান্দাবাজি দিয়ে,Loading...
Stereotype,মেয়েরা শ্বশুরবাড়িতে নিজের পছন্দ চাপিয়ে দিলে পরিবারে কষ্ট বাড়ে,Loading...
Stereotype,"ছেলেরা যুক্তি দিয়ে চলে, মেয়েরা আবেগ দিয়ে।",Loading...
Sexual Harassment,দিদির সাথে ডগি স্টাইলে খেলতে মজা লাগবে,Loading...
Stereotype,"যতই অস্বীকার করুক, অফিসের সমালোচনায় মেয়েরা নাকের পানি চোখের পানি এক করে ফেলে।",Loading...
Stereotype,মেয়েদের চাকরি থাকলে বিয়েতে পরিবার বেশি দাবি রাখে,Loading...
Non Misogynistic,দিদির উপস্থাপনা পেশাদার মানের,Loading...
Derogation,তুমি কত মেকআপ করলেও তোমার চেহারার উন্নতি হবে না আপু।,Loading...
Non Misogynistic,"মেয়েটা ডক্টরেট করতে গেছে, পরিবার পুরোপুরি সাথে আছে।",Loading...
Stereotype,স্বামীর নির্দেশ মেনে না চললে মেয়েদের পরে অনুতপ্ত হতে হয়।,Loading...
Derogation,"একে কে লাল শাড়িতেও শোভা পাচ্ছে না, বুইড়া মহিলা একটা",Loading...
Stereotype,মেয়েরা মিডিয়ায় গেলে নিজেকে দেখানো ছাড়া কিছু শেখে না,Loading...
Non Misogynistic,নারী ছাত্র নেতা ছাত্রসমাজের কণ্ঠস্বর হয়ে উঠেছেন,Loading...
Sexual Harassment,"এই মেয়ে যত টাকা চাও দিতে রাজি, শুধু একবার খাটে যাও আমার সাথে",Loading...
Stereotype,মেয়েরা মোটরসাইকেল চালালে মানুষ অবাক হয়ে তাকায় — এই কথাটা কখনোই পুরোনো হবে না।,Loading...
Stereotype,সন্ধার পরে বাইরে থাকা মেয়েদের সাজে না — এটাই সত্য।,Loading...
Derogation,মেয়েটাকে হাঁটতে দেখলে মনে হয় প্রতিটা পদক্ষেপ আলাদা দেশে যাচ্ছে,Loading...
Non Misogynistic,"মেয়েটার সাথে একবার দেখা হয়েছিল, কিন্তু মনে হয়েছিল বহুদিনের পরিচয়",Loading...
Non Misogynistic,যদি ধর্ষণের শিকার হয়ে থাকেন থানায় গিয়ে মামলা করেন,Loading...
Stereotype,"অভিজ্ঞতা বলে, মেয়েরা প্রমোশন পেলে সবাই ধরে নেয় কোনো কারণ আছে।",Loading...
Sexual Harassment,"উপস্থাপিকা তো খাসা মাল, গাড়ি কেনার টাকা দিলে রাতের জন্য পাওয়া যাবে",Loading...
Stereotype,মেয়েদের ব্যাংক এর টাকা পয়সা দেখলেই বোঝা যায় তারা কোন দিকে আগাচ্ছে,Loading...
Derogation,তার ওজনের চেয়ে তার মেকাপের ওজন বেশি।।,Loading...
Stereotype,মেয়েরা শালীন পোশাকে বের না হলে কেউ তাকে ভালো চোখে দেখবে না,"If girls don't dress modestly, no one will look down on them."
Non Misogynistic,নারী চিকিৎসক রাত জেগে রোগীর সেবা করেন,Loading...
Sexual Harassment,মামণির বুক এর ওজনে এক দিন রেলিং পড়ে যাবে,Loading...
Non Misogynistic,মেয়েটা গবেষণা করেছে সেই হিসেবে ঠিকই আছে। কয়জনই বা পারে এসব করতে?,Loading...
Non Misogynistic,মেয়েটি কঠিন সত্যও সাহসের সাথে বলেন,Loading...
Non Misogynistic,"এখনো কত সুন্দর মাশাল্লাহ, যেমন গুণবতী তেমন রূপবতী",Loading...
Non Misogynistic,দিদির ব্যক্তিত্ব আস্থার প্রতীক,Loading...
Sexual Harassment,"এই সুন্দরী খানকি মাগি, এর ডিমান্ড থাকবে কোথায়",Loading...
Non Misogynistic,মেয়েটির পেন্সিল স্কেচ জীবন্ত,Loading...
Derogation,মেয়েটার নিজস্ব কোনো পরিচয় নেই অন্যের ছায়ায় থাকে আবার ভাব নেয়,Loading...
Non Misogynistic,আপুর জলরঙের ছবি অসাধারণ,Loading...
Derogation,এই মেয়ে ভুল স্বীকার করতে জানে না,Loading...
Non Misogynistic,"মেয়েদের পেশাদার দক্ষতা বিচারে লিঙ্গ নয়, কর্মদক্ষতাই একমাত্র মাপকাঠি।",Loading...
Stereotype,"মেয়ের জন্য বিয়ের প্রস্তাব এলে না করতে নেই, এটাই বুদ্ধিমানের কাজ, তা না হলে সমাজ চলে কীভাবে?",Loading...
Stereotype,"মেয়েদের অহংকার বেড়েছে, ভদ্রতা কমেছে।",Loading...
Derogation,তোর উপস্থাপনা এত বোরিং যে চ্যানেল বদলাতে ইচ্ছে করে।,Loading...
Derogation,ওড়না টা বাসায় রেখে আসলেই তো হয়,It's okay to leave the veil at home.
Derogation,মেয়েটার এই ভণিতামূলক চালচলন আর কতদিন চলবে?,Loading...
Stereotype,দুজন মেয়ে একসাথে হলে তাদের কথার শেষ হয় না,Loading...
Stereotype,"অভিজ্ঞতা বলে, একা অ্যাপার্টমেন্ট কেনা মেয়েদের অহংকার ছেলেদের তাড়িয়ে দেয়।",Loading...
Derogation,মেয়েটা যেসব কথা বলে দেখলে মনে হয় বাস্তবতা থেকে অনেক দূরে আছে,Loading...
Stereotype,মেয়েরা বিয়ের পরেও ক্যারিয়ার করলে স্বামীর অপমান হয়,Loading...
Derogation,ফুল লালে লাল আপুটা একটু বেশি উত্তেজিত,Loading...
Stereotype,মেয়েরা যুক্তি দিলে বড়রা একে বেয়াদবি ধরে নেয়।,Loading...
Non Misogynistic,মেয়েটার সামাজিক কাজ প্রমাণ করে একজন মানুষ সমাজ পরিবর্তনে বড় ভূমিকা রাখতে পারে।,Loading...
Non Misogynistic,মেয়েটা প্রতিদিন একটু একটু করে তার স্বপ্নের দিকে এগিয়ে যাচ্ছে।,Loading...
Non Misogynistic,মেয়েটার সততা সমাজে দৃষ্টান্ত,Loading...
Sexual Harassment,অনুষ্ঠান শেষে খাটে কত টাকায় বিক্রি হবে এই মাল জানতে পারি?,Loading...
Sexual Harassment,এই মডেল শরীর না দেখালে কেউ চিনত না,Loading...
Sexual Harassment,মাল ঠিক আছে। শরীরটা পুরা রসে ভরা,Loading...
Stereotype,মেয়েদের পড়াশোনার পেছনে পরিবারের বিনিয়োগ ফেরত আসে না,Loading...
Derogation,এই মেয়ে নতুন কিছু গ্রহণ করতে পারে না,Loading...
Stereotype,মেয়েরা সুন্দর না হলে নেতৃত্বের পদে কেউ দেখতে চায় না,Loading...
Stereotype,আসলে মেয়েরাই আজ ছেলেদের কোণঠাসা করার ধান্ধায়।,Loading...
Stereotype,বাজার করতে গেলে মেয়েরা বেশি দাম দিয়ে আসে,Loading...
Stereotype,মেয়েরা বেশি শিক্ষিত হলে পাত্র পাওয়া যায় না,Loading...
Sexual Harassment,এই ডিজে পল্লীতে গেলে আরো ভালো কাস্টমার পাবে,This DJ will get better customers if he goes to rural areas
Non Misogynistic,মেয়েটি প্রতিটি কাজকে দায়িত্ব হিসেবে নেয়,Loading...
Sexual Harassment,"আপুটির শরীর নিলামে তোলা মালের মতো, একদম কড়া",Loading...
Derogation,এই মেয়ের মানসিক সমস্যা আছে,Loading...
Sexual Harassment,বৌদি পল্লীতে গেলে আরো ভালো কাস্টমার পাবে,Loading...
Derogation,তোর মতো অনিশ্চিত মেয়ে বিশ্বাসযোগ্য না।,Loading...
Non Misogynistic,মেয়েদের জন্য এই অর্জনটা অনেক বড়,Loading...
Sexual Harassment,তোমার সোনার দাম মাত্র ৫০ টাকা ?,Loading...
Sexual Harassment,তোমার ডাব গুলো তো বুড়া বেডির মতো,Loading...
Stereotype,মেয়েরা বড় পদে থাকলে পেছনে কোনো পুরুষের হাত থাকে,Loading...
Stereotype,মেয়েরা পশ্চিমা পোশাক পরলে সংস্কৃতি হারিয়ে যায় — এই কথাটা কখনোই পুরোনো হবে না।,Loading...
Sexual Harassment,ফিগার টা যা সুন্দর বুকের কাপড়টা আরেকটু নিচু হলে ভালো হত,Loading...
Stereotype,"মেয়েরা বেশি প্রশ্ন করে উত্তরের জন্য না, অ্যাটেনশন পাওয়ার জন্য",Loading...
Non Misogynistic,দিদির স্বাধীনতার মূল্যায়ন স্পষ্ট,Loading...
Sexual Harassment,এভাবে নাচতে থাকলে মানুষ তোমার শরীর নিয়েই আলোচনা করবে।,Loading...
Non Misogynistic,মেয়েটা নিজের কাজটা খুব মন দিয়ে করে,Loading...
Non Misogynistic,মেয়েটা আর্থিকভাবে স্বাবলম্বী হওয়ার পর থেকে পরিবারের সবার সাহায্য করছে।,Loading...
Sexual Harassment,মেয়েটাকে দেখার পর মনে হচ্ছে না হাত না মেরে থাকতে পারবো,Loading...
Sexual Harassment,নাইট ক্লাবে ভালো সার্ভিস দিয়ে থাকে এই মেয়েগুলো,Loading...
Stereotype,মেয়েদের সমস্যা সমাধানের পদ্ধতি সবসময় আবেগতাড়িত,Loading...
Stereotype,"সবাই জানে, বিয়ের পরই জীবন গুছিয়ে নিতে পারে, তার আগে অসম্পূর্ণ, তা না হলে সমাজ চলে কীভাবে?",Loading...
Non Misogynistic,মেয়েটি বিষয়ভিত্তিক বিতর্কে দারুণ পারদর্শী,Loading...
Stereotype,"যতই অস্বীকার করুক, নিজের পছন্দে জীবনসঙ্গী বেছে নেওয়া মেয়েদের সংসার বেশিদিন টেকে না।",Loading...
Stereotype,মেয়েদের স্বামীর আয়ের উপর নির্ভর করাই স্বাভাবিক,Loading...
Derogation,মেয়েটার আচরণ দেখে মনে হয় স্বামী রাখা কঠিন হবে।,Loading...
Non Misogynistic,বোনটির শর্টফিল্ম সমাজের কথা বলে,Loading...
Non Misogynistic,"মেয়েটার মধ্যে অহংকার কম, তাই সবার সাথে সহজে মিশে যায়",Loading...
Sexual Harassment,"মহিলার পাছাটা রসের হাঁড়ির মতো, ঝাঁকি দিতে ইচ্ছা করছে",Loading...
Stereotype,"মানতেই হবে, যেদিন থেকে মেয়েরা চাকরি করতে শুরু করেছে, পরিবারে অশান্তি বেড়েছে।",Loading...
Derogation,"শরীর নিয়ে নড়তে পারে না, আবার নাকি নায়িকা।",Loading...
Derogation,এই মেয়েটার আবেগ নিয়ন্ত্রণ করতে পারে না,Loading...
Stereotype,মেয়েদের বিয়ের পর স্বামীর মত অনুযায়ী চলা উচিত,Loading...
Non Misogynistic,মেয়েটা নিজের কাজে শতভাগ আন্তরিক,Loading...
Derogation,এই মহিলার কারণে অফিসে পরিবেশ নষ্ট হয়।,Loading...
Derogation,এই মহিলার রিপোর্ট পড়লে মাথা ঘুরে যায়,Loading...
Stereotype,নষ্ট মেয়েদের বিয়ের প্রয়োজনীয়তা কী?,Loading...
Stereotype,মেয়েরা বেশি কাজের চাপ নিতে পারে না,Loading...
Sexual Harassment,মেয়েটাকে একবার কাছে পেলে ছাড়তাম না,Loading...
Stereotype,মেয়ে হয়ে এত রাতে বাইরে থাকাটা ভালো দেখায় না,Loading...
Stereotype,মেয়েদের পোশাক দেখেই বোঝা যায় তারা কেমন,Loading...
Derogation,এসব ভুসকি যে কই থেকে আসে!,Loading...
Non Misogynistic,মহিলা সামাজিক উদ্যোক্তাটি স্থানীয় কারিগরদের জীবিকায় অবদান রাখছেন।,Loading...
Derogation,এই মেয়ের চেহেরাটা চোরের মতো হয়ে গেছে।,Loading...
Non Misogynistic,মেয়েটি কাউকে ছোট না করে কথা বলে,Loading...
Non Misogynistic,"মেয়েটা পরিস্থিতি যতই কঠিন হোক, নেতৃত্বের দায়িত্ব থেকে পিছপা হয় না।",Loading...
Sexual Harassment,এই ডিজের আপেল ছাড়া ভিডিওতে কিছুই নড়ছে না,Loading...
Derogation,মেয়েটার প্রেজেন্টেশন দেখে সবাই বিরক্ত হয়।,Loading...
Non Misogynistic,আপুর কেকের ডিজাইন প্রফেশনাল মানের,Loading...
Derogation,তর মা ও কি তরে এমনি জন্ম দিছে নাকি?,Loading...
Non Misogynistic,মেয়েটার ভাবনায় কখনো হতাশা পায় না,Loading...
Stereotype,মেয়েরা গভীর রাতে বাইরে গেলে যা হয় তা মেনে নিতে হবে,Loading...
Derogation,এই মালের কিন্তু এক চোখ ছোট এক চোখ বড়,Loading...
Non Misogynistic,মেয়েটার সামাজিক কাজ দেখলে বোঝা যায় একজন মানুষ চাইলে কতটা পরিবর্তন আনতে পারে।,Loading...
Derogation,এই মহিলার বর্তমান অবস্থা দেখে কেউ সাহায্য করতেও চাইবে না,Loading...
Non Misogynistic,"মেয়েটা নিজের পরিশ্রমে এতদূর এসেছে, সত্যিই প্রশংসনীয়","The girl has come this far through her own hard work, it's truly commendable."
Sexual Harassment,বিয়ে করবে শুনেই শুয়ে পরে,Loading...
Stereotype,মেয়েরা ঝগড়া মেটাতে না পেরে সম্পর্ক ছিন্ন করে,Loading...
Derogation,এই মহিলার কপটতা দেখলে অবাক হতে হয়,Loading...
Stereotype,মেয়েরা উচ্চস্বরে কথা বললে ভদ্রতা শেখেনি মনে হয়,Loading...
Stereotype,এখনকার মেয়েদের লক্ষ্য মূলত একটি ভালো বিয়ে।,Loading...
Sexual Harassment,"বৌদির পাছাটা রসের হাঁড়ির মতো, ঝাঁকি দিতে ইচ্ছা করছে",Loading...
Non Misogynistic,মেয়েটার চামড়ার পণ্য মানসম্পন্ন,Loading...
Derogation,এ সমস্ত নর্তকীদের কি কারণে মিডিয়ার সামনে আনা হয় বুজি না।,Loading...
Non Misogynistic,মেয়েটার মানসিক স্বাস্থ্য তার পেশাগত ও ব্যক্তিগত জীবনে সমান গুরুত্বপূর্ণ।,Loading...
Derogation,সমাজ নষ্ট দেশ নষ্ট করে ফেলেছে এই ছেমরি,Loading...
Non Misogynistic,মেয়েদের প্রতি যেকোনো অপমানজনক মন্তব্য নিন্দনীয়,Loading...
Non Misogynistic,এই মেয়েটা ক্রিকেট খেলছে দেখে মনে হলো বাংলাদেশ জিতবেই,Loading...
Sexual Harassment,কাস্টমার একটা পাইছে খেলা হবে নাকি আজেকে আপু,Loading...
Derogation,এই বেডির রিলস দেখে মনে হয় কেউ জোর করে নাচাচ্ছে।,Loading...
Derogation,এই মহিলার বয়স হয়েছে তবুও কচি মেয়ের মতো সাজে,Loading...
Derogation,মেয়েটার বিচার বিবেচনার অনেক অভাব,Loading...
Non Misogynistic,মেয়েদের জন্য সুনির্দিষ্ট সহায়তা কেন্দ্র থাকা প্রয়োজন,Loading...
Stereotype,বন্ধুর সাথে থাকলে মেয়েরা স্বামীকে সময় দিচ্ছে না,Loading...
Derogation,তোর মতো মেয়ে পরিবারের সম্মান কমায়।,Loading...
Stereotype,মেয়েরা একা ভ্রমণ করে নিজেই নিজের বিপদ ডেকে আনে,Loading...
Stereotype,"ইঞ্জিনারিং পড়ে মেয়েরা প্রায় কিছুই বুঝে না, যুগ যুগ ধরে চলে আসছে।",Loading...
Stereotype,কর্তার রায়ের পরে মেয়েদের আর কথা বলার থাকে না।,Loading...
Sexual Harassment,এই মহিলার সাথে দৌলোদিয়া পাড়ার বেডির পার্থক্য কোথায়?,Loading...
Sexual Harassment,বুড়ি দেখতে কড়া মাল,Loading...
Stereotype,"মেয়েমানুষ বলে কথা, একটু এদিক-ওদিক তো হবেই",Loading...
Stereotype,ঘর অপরিষ্কার থাকলে বুঝতে হবে বাড়ির মেয়েটা কাজে ফাঁকি দিচ্ছে,Loading...
Sexual Harassment,এই মেয়ের ভাইরাল হওয়ার একমাত্র উপায় শরীর দেখানো,Loading...
Stereotype,মেয়েরা ডায়েট করে কারণ সমাজ শুকনো মেয়ে পছন্দ করে,Loading...
Non Misogynistic,বোনটি অসুস্থ প্রতিবেশীকে সেবা করেছেন,Loading...
Sexual Harassment,"আপুটিকে অফিস থেকে বের হওয়ার সময় দেখি, একদিন রুমে নিয়ে যাব",Loading...
Sexual Harassment,ফিগারটা যেন ভাড়ায় চালিত লাল রিকশা,Loading...
Stereotype,মেয়েরা মেকআপ করে বেরোলে অনেক সময় আসল চেহারা বোঝা যায় না,Loading...
Stereotype,মেয়েদের একসাথে রাখলে অশান্তি নিশ্চিত,Loading...
